fname,ID,Status,pixel size,Single tick,Sex,Lifestage,Feed-Stage,Species,Identifier_initials,ID_date,Notes,re-cropped
/Volumes/My Passport/MLS_project/OriginalData/10208834+Ixodes_scapularis+Augment+RTS_110+life_a+fed.jpg,10208834,Augment,110.0,True,m,a,unfed,Ixodes scapularis,JAR,8/13/2020,nan,False
/Volumes/My Passport/MLS_project/OriginalData/10236304+Amblyomma_americanum+Augment+RTS_20+life_a+fed.jpg,10236304,Augment,20.0,True,f,a,unfed,Amblyomma americanum,XL,8/7/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10281346+Ixodes_scapularis+Discard+RTS_+life_unk+feed_unk.jpg,10281346,Discard,nan,nan,unk,unk,unk,Ixodes scapularis,JAR,8/13/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10282708+Ixodes_scapularis+Augment+RTS_45+life_a+fed.jpg,10282708,Augment,45.0,True,f,a,unfed,Ixodes scapularis,JAR,8/13/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10293193+Dermacentor_variabilis+Augment+RTS_28+life_a+fed.jpg,10293193,Augment,28.0,True,m,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10316471+Ixodes_scapularis+Augment+RTS_28+life_a+fed.jpg,10316471,Augment,28.0,True,f,a,fed,Ixodes scapularis,JAR,8/13/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10381104+Dermacentor_variabilis+Augment+RTS_135+life_a+fed.jpg,10381104,Augment,135.0,True,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,False
/Volumes/My Passport/MLS_project/OriginalData/10449752+Ixodes_scapularis+Augment+RTS_150+life_a+fed.jpg,10449752,Augment,150.0,True,f,a,unfed,Ixodes scapularis,JAR,8/13/2020,nan,False
/Volumes/My Passport/MLS_project/OriginalData/10493055+Ixodes_scapularis+Augment+RTS_50+life_a+fed.jpg,10493055,Augment,50.0,True,m,a,unfed,Ixodes scapularis,JAR,8/13/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10499627+Ixodes_scapularis+Augment+RTS_90+life_a+fed.jpg,10499627,Augment,90.0,True,f,a,unfed,Ixodes scapularis,JAR,8/13/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10514812+Ixodes_scapularis+Augment+RTS_43+life_a+fed.jpg,10514812,Augment,43.0,True,m,a,unfed,Ixodes scapularis,JAR,8/13/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10527114+Amblyomma_americanum+Keep+RTS_20+life_unk+feed_unk.jpg,10527114,Keep,20.0,True,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10531713+Ixodes_scapularis+Discard+RTS_+life_unk+feed_unk.jpg,10531713,Discard,nan,False,unk,unk,unk,Ixodes scapularis,JAR,8/13/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10538133+Amblyomma_americanum+Augment+RTS_160+life_a+fed.jpg,10538133,Augment,160.0,True,f,a,unfed,Amblyomma americanum,XL,8/7/2020,nan,False
/Volumes/My Passport/MLS_project/OriginalData/10547708+Ixodes_scapularis+Augment+RTS_20+life_a+fed.jpg,10547708,Augment,20.0,True,f,a,unfed,Ixodes scapularis,JAR,8/13/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10548602+Ixodes_scapularis+Discard+RTS_+life_unk+feed_unk.jpg,10548602,Discard,nan,nan,unk,unk,unk,Ixodes scapularis,JAR,8/13/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10557850+Amblyomma_americanum+Augment+RTS_75+life_a+fed.jpg,10557850,Augment,75.0,True,m,a,unfed,Amblyomma americanum,XL,8/7/2020,nan,False
/Volumes/My Passport/MLS_project/OriginalData/10572653+Dermacentor_variabilis+Keep+RTS_+life_a+feed_unk.jpg,10572653,Keep,nan,False,unk,a,unk,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10574211+Ixodes_scapularis+Augment+RTS_30+life_a+fed.jpg,10574211,Augment,30.0,True,f,a,fed,Ixodes scapularis,JAR,8/13/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10581526+Ixodes_scapularis+Discard+RTS_+life_unk+feed_unk.jpg,10581526,Discard,nan,nan,unk,unk,unk,Ixodes scapularis,JAR,8/13/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10620534+Dermacentor_variabilis+Keep+RTS_25+life_a+fed.jpg,10620534,Keep,25.0,True,unk,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10663564+Amblyomma_americanum+Augment+RTS_45+life_a+fed.jpg,10663564,Augment,45.0,True,m,a,fed,Amblyomma americanum,XL,8/7/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10666304+Dermacentor_variabilis+Augment+RTS_26+life_a+fed.jpg,10666304,Augment,26.0,True,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10681619+Dermacentor_variabilis+Augment+RTS_+life_a+fed.jpg,10681619,Augment,nan,False,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,False
/Volumes/My Passport/MLS_project/OriginalData/10684033+Dermacentor_variabilis+Augment+RTS_120+life_a+fed.jpg,10684033,Augment,120.0,True,m,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10696451+Dermacentor_variabilis+Augment+RTS_+life_a+fed.jpg,10696451,Augment,nan,False,unk,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10720684+Ixodes_scapularis+Discard+RTS_+life_unk+feed_unk.jpg,10720684,Discard,nan,False,unk,unk,unk,Ixodes scapularis,JAR,8/13/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10720749+Dermacentor_variabilis+Augment+RTS_85+life_a+fed.jpg,10720749,Augment,85.0,True,m,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,False
/Volumes/My Passport/MLS_project/OriginalData/10724043+Dermacentor_variabilis+Augment+RTS_21+life_a+fed.jpg,10724043,Augment,21.0,True,m,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10747418+Dermacentor_variabilis+Augment+RTS_85+life_a+fed.jpg,10747418,Augment,85.0,True,m,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,False
/Volumes/My Passport/MLS_project/OriginalData/10758908+Amblyomma_americanum+Keep+RTS_30+life_unk+feed_unk.jpg,10758908,Keep,30.0,True,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10762795+Amblyomma_americanum+Keep+RTS_100+life_a+fed.jpg,10762795,Keep,100.0,True,m,a,unfed,Amblyomma americanum,XL,8/7/2020,nan,False
/Volumes/My Passport/MLS_project/OriginalData/10763416+Amblyomma_americanum+Augment+RTS_60+life_a+fed.jpg,10763416,Augment,60.0,True,f,a,unfed,Amblyomma americanum,XL,8/7/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10772831+Ixodes_scapularis+Augment+RTS_115+life_a+fed.jpg,10772831,Augment,115.0,True,f,a,unfed,Ixodes scapularis,JAR,8/13/2020,nan,False
/Volumes/My Passport/MLS_project/OriginalData/10785492+Amblyomma_americanum+Discard+RTS_15+life_unk+feed_unk.jpg,10785492,Discard,15.0,True,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10790947+Ixodes_scapularis+Discard+RTS_+life_unk+feed_unk.jpg,10790947,Discard,nan,nan,unk,unk,unk,Ixodes scapularis,JAR,8/13/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10792702+Dermacentor_variabilis+Augment+RTS_224+life_a+fed.jpg,10792702,Augment,224.0,True,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,False
/Volumes/My Passport/MLS_project/OriginalData/10814313+Dermacentor_variabilis+Augment+RTS_45+life_a+fed.jpg,10814313,Augment,45.0,True,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10816152+Dermacentor_variabilis+Augment+RTS_135+life_a+fed.jpg,10816152,Augment,135.0,True,m,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,False
/Volumes/My Passport/MLS_project/OriginalData/10823703+Dermacentor_variabilis+Augment+RTS_180+life_a+fed.jpg,10823703,Augment,180.0,True,m,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,False
/Volumes/My Passport/MLS_project/OriginalData/10828225+Amblyomma_americanum+Discard+RTS_15+life_unk+feed_unk.jpg,10828225,Discard,15.0,True,unk,unk,unk,Amblyomma americanum,XL,8/7/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10865831+Dermacentor_variabilis+Augment+RTS_220+life_a+fed.jpg,10865831,Augment,220.0,True,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,False
/Volumes/My Passport/MLS_project/OriginalData/10894392+Dermacentor_variabilis+Augment+RTS_23+life_a+fed.jpg,10894392,Augment,23.0,True,unk,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10900119+Amblyomma_americanum+Augment+RTS_50+life_a+fed.jpg,10900119,Augment,50.0,True,f,a,unfed,Amblyomma americanum,XL,8/7/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10936845+Ixodes_scapularis+Augment+RTS_40+life_a+fed.jpg,10936845,Augment,40.0,True,m,a,unfed,Ixodes scapularis,JAR,8/13/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/10985923+Dermacentor_variabilis+Augment+RTS_120+life_a+fed.jpg,10985923,Augment,120.0,True,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,False
/Volumes/My Passport/MLS_project/OriginalData/11086298+Dermacentor_variabilis+Augment+RTS_50+life_a+fed.jpg,11086298,Augment,50.0,True,m,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11093483+Ixodes_scapularis+Augment+RTS_127+life_a+fed.jpg,11093483,Augment,127.0,True,f,a,unfed,Ixodes scapularis,JAR,8/13/2020,nan,False
/Volumes/My Passport/MLS_project/OriginalData/11114848+Ixodes_scapularis+Augment+RTS_70+life_a+fed.jpg,11114848,Augment,70.0,False,f,a,fed,Ixodes scapularis,JAR,8/13/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11143644+Amblyomma_americanum+Augment+RTS_70+life_a+fed.jpg,11143644,Augment,70.0,True,f,a,unfed,Amblyomma americanum,XL,8/7/2020,nan,False
/Volumes/My Passport/MLS_project/OriginalData/11186608+Dermacentor_variabilis+Augment+RTS_23+life_a+fed.jpg,11186608,Augment,23.0,True,m,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11192963+Dermacentor_variabilis+Augment+RTS_55+life_a+fed.jpg,11192963,Augment,55.0,True,m,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11199311+Dermacentor_variabilis+Augment+RTS_200+life_a+fed.jpg,11199311,Augment,200.0,True,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,False
/Volumes/My Passport/MLS_project/OriginalData/11201047+Dermacentor_variabilis+Augment+RTS_160+life_a+fed.jpg,11201047,Augment,160.0,True,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,False
/Volumes/My Passport/MLS_project/OriginalData/11201058+Dermacentor_variabilis+Augment+RTS_150+life_a+fed.jpg,11201058,Augment,150.0,True,m,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,False
/Volumes/My Passport/MLS_project/OriginalData/11219325+Amblyomma_americanum+Augment+RTS_125+life_n+fed.jpg,11219325,Augment,125.0,True,unk,n,fed,Amblyomma americanum,XL,8/7/2020,nan,False
/Volumes/My Passport/MLS_project/OriginalData/11244953+Dermacentor_variabilis+Augment+RTS_65+life_a+fed.jpg,11244953,Augment,65.0,True,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11245144+Dermacentor_variabilis+Augment+RTS_115+life_a+fed.jpg,11245144,Augment,115.0,True,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,False
/Volumes/My Passport/MLS_project/OriginalData/1125684+Ixodes_scapularis+Augment+RTS_65+life_a+fed.jpg,1125684,Augment,65.0,True,m,a,unfed,Ixodes scapularis,LJ,8/12/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11264729+Dermacentor_variabilis+Augment+RTS_65+life_a+fed.jpg,11264729,Augment,65.0,True,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11267066+Amblyomma_americanum+Augment+RTS_40+life_a+fed.jpg,11267066,Augment,40.0,True,f,a,unfed,Amblyomma americanum,XL,8/7/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11292758+Amblyomma_americanum+Augment+RTS_30+life_a+fed.jpg,11292758,Augment,30.0,True,f,a,unfed,Amblyomma americanum,XL,8/7/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11300065+Dermacentor_variabilis+Keep+RTS_25+life_a+fed.jpg,11300065,Keep,25.0,True,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11332892+Amblyomma_americanum+Augment+RTS_100+life_a+fed.jpg,11332892,Augment,100.0,True,m,a,unfed,Amblyomma americanum,XL,8/7/2020,nan,False
/Volumes/My Passport/MLS_project/OriginalData/11335289+Amblyomma_americanum+Augment+RTS_60+life_a+fed.jpg,11335289,Augment,60.0,True,f,a,unfed,Amblyomma americanum,XL,8/7/2020,nan,False
/Volumes/My Passport/MLS_project/OriginalData/11343698+Dermacentor_variabilis+Augment+RTS_73+life_a+fed.jpg,11343698,Augment,73.0,True,f,a,fed,Dermacentor variabilis,LJ,08/10/20,nan,False
/Volumes/My Passport/MLS_project/OriginalData/11354718+Dermacentor_variabilis+Augment+RTS_+life_a+fed.jpg,11354718,Augment,nan,False,unk,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11369192+Dermacentor_variabilis+Keep+RTS_15+life_a+fed.jpg,11369192,Keep,15.0,True,unk,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11381227+Dermacentor_variabilis+Augment+RTS_100+life_a+fed.jpg,11381227,Augment,100.0,True,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,False
/Volumes/My Passport/MLS_project/OriginalData/11405252+Dermacentor_variabilis+Augment+RTS_95+life_a+fed.jpg,11405252,Augment,95.0,True,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11417932+Dermacentor_variabilis+Keep+RTS_15+life_a+fed.jpg,11417932,Keep,15.0,True,unk,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11430169+Dermacentor_variabilis+Keep+RTS_95+life_a+fed.jpg,11430169,Keep,95.0,True,unk,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,False
/Volumes/My Passport/MLS_project/OriginalData/11457904+Ixodes_scapularis+Augment+RTS_60+life_a+fed.jpg,11457904,Augment,60.0,True,m,a,unfed,Ixodes scapularis,JAR,8/13/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11459960+Ixodes_scapularis+Discard+RTS_+life_unk+feed_unk.jpg,11459960,Discard,nan,nan,unk,unk,unk,Ixodes scapularis,JAR,8/13/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11461628+Ixodes_scapularis+Augment+RTS_90+life_a+fed.jpg,11461628,Augment,90.0,True,f,a,unfed,Ixodes scapularis,JAR,8/13/2020,nan,False
/Volumes/My Passport/MLS_project/OriginalData/11467083+Ixodes_scapularis+Augment+RTS_29+life_a+fed.jpg,11467083,Augment,29.0,True,m,a,fed,Ixodes scapularis,JAR,8/13/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11476734+Ixodes_scapularis+Augment+RTS_155+life_a+fed.jpg,11476734,Augment,155.0,True,f,a,unfed,Ixodes scapularis,JAR,8/13/2020,nan,False
/Volumes/My Passport/MLS_project/OriginalData/11486339+Dermacentor_variabilis+Discard+RTS_+life_unk+feed_unk.jpg,11486339,Discard,nan,nan,unk,unk,unk,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11487632+Ixodes_scapularis+Keep+RTS_18+life_n+fed.jpg,11487632,Keep,18.0,True,unk,n,unfed,Ixodes scapularis,JAR,8/13/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11505780+Dermacentor_variabilis+Augment+RTS_90+life_a+fed.jpg,11505780,Augment,90.0,True,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11505840+Dermacentor_variabilis+Augment+RTS_80+life_a+fed.jpg,11505840,Augment,80.0,True,unk,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,False
/Volumes/My Passport/MLS_project/OriginalData/11513318+Dermacentor_variabilis+Augment+RTS_62+life_a+fed.jpg,11513318,Augment,62.0,True,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11515479+Dermacentor_variabilis+Augment+RTS_23+life_a+fed.jpg,11515479,Augment,23.0,True,m,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11537305+Dermacentor_variabilis+Augment+RTS_32+life_a+fed.jpg,11537305,Augment,32.0,True,m,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11541241+Dermacentor_variabilis+Augment+RTS_80+life_a+fed.jpg,11541241,Augment,80.0,True,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,False
/Volumes/My Passport/MLS_project/OriginalData/11548838+Dermacentor_variabilis+Augment+RTS_21+life_a+fed.jpg,11548838,Augment,21.0,True,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11563395+Dermacentor_variabilis+Augment+RTS_28+life_a+fed.jpg,11563395,Augment,28.0,True,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11585323+Dermacentor_variabilis+Augment+RTS_125+life_a+fed.jpg,11585323,Augment,125.0,True,m,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,False
/Volumes/My Passport/MLS_project/OriginalData/11604791+Amblyomma_americanum+Augment+RTS_35+life_a+fed.jpg,11604791,Augment,35.0,True,m,a,unfed,Amblyomma americanum,XL,8/7/2020,nan,False
/Volumes/My Passport/MLS_project/OriginalData/11608147+Dermacentor_variabilis+Augment+RTS_100+life_a+fed.jpg,11608147,Augment,100.0,True,m,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,False
/Volumes/My Passport/MLS_project/OriginalData/11608164+Dermacentor_variabilis+Keep+RTS_32+life_a+feed_unk.jpg,11608164,Keep,32.0,True,unk,a,unk,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11623056+Amblyomma_americanum+Keep+RTS_20+life_a+fed.jpg,11623056,Keep,20.0,True,m,a,unfed,Amblyomma americanum,XL,8/7/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11641522+Dermacentor_variabilis+Augment+RTS_46+life_a+fed.jpg,11641522,Augment,46.0,True,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11648252+Dermacentor_variabilis+Augment+RTS_21+life_a+fed.jpg,11648252,Augment,21.0,True,m,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11655606+Dermacentor_variabilis+Keep+RTS_19+life_a+fed.jpg,11655606,Keep,19.0,True,unk,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11659809+Ixodes_scapularis+Augment+RTS_17+life_a+fed.jpg,11659809,Augment,17.0,True,f,a,unfed,Ixodes scapularis,JAR,8/13/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11660092+Dermacentor_variabilis+Augment+RTS_32+life_a+fed.jpg,11660092,Augment,32.0,True,m,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11666954+Dermacentor_variabilis+Augment+RTS_27+life_a+fed.jpg,11666954,Augment,27.0,True,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11668200+Dermacentor_variabilis+Augment+RTS_27+life_a+fed.jpg,11668200,Augment,27.0,True,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11677496+Dermacentor_variabilis+Augment+RTS_21+life_a+fed.jpg,11677496,Augment,21.0,True,unk,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11679708+Dermacentor_variabilis+Augment+RTS_36+life_a+fed.jpg,11679708,Augment,36.0,True,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11686747+Dermacentor_variabilis+Augment+RTS_54+life_a+fed.jpg,11686747,Augment,54.0,True,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11689636+Dermacentor_variabilis+Augment+RTS_45+life_a+fed.jpg,11689636,Augment,45.0,True,m,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11689801+Ixodes_scapularis+Augment+RTS_145+life_a+fed.jpg,11689801,Augment,145.0,True,f,a,fed,Ixodes scapularis,JAR,8/13/2020,nan,False
/Volumes/My Passport/MLS_project/OriginalData/11691226+Ixodes_scapularis+Augment+RTS_22+life_a+fed.jpg,11691226,Augment,22.0,True,f,a,unfed,Ixodes scapularis,JAR,8/13/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11696889+Dermacentor_variabilis+Augment+RTS_125+life_a+fed.jpg,11696889,Augment,125.0,True,m,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11697885+Dermacentor_variabilis+Augment+RTS_128+life_a+fed.jpg,11697885,Augment,128.0,True,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11697890+Dermacentor_variabilis+Augment+RTS_125+life_a+fed.jpg,11697890,Augment,125.0,True,m,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,False
/Volumes/My Passport/MLS_project/OriginalData/11698133+Ixodes_scapularis+Augment+RTS_45+life_a+fed.jpg,11698133,Augment,45.0,True,m,a,unfed,Ixodes scapularis,JAR,8/13/2020,nan,True
/Volumes/My Passport/MLS_project/OriginalData/11704082+Ixodes_scapularis+Augment+RTS_217+life_a+fed.jpg,11704082,Augment,217.0,True,f,a,unfed,Ixodes scapularis,JAR,8/13/2020,nan,False
/Volumes/My Passport/MLS_project/OriginalData/11710413+Dermacentor_variabilis+Augment+RTS_110+life_a+fed.jpg,11710413,Augment,110.0,True,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,False
/Volumes/My Passport/MLS_project/OriginalData/11723052+Dermacentor_variabilis+Augment+RTS_131+life_a+fed.jpg,11723052,Augment,131.0,True,f,a,unfed,Dermacentor variabilis,LJ,08/10/20,nan,False
